,soup_words
0,lossoflover dream kidnapping christophernolan action thriller sciencefiction
1,dccomics crimefighter secretidentity christophernolan drama action crime
2,cultureclash future spacewar jamescameron action adventure fantasy
3,newyork shield marvelcomic josswhedon sciencefiction action adventure
4,antihero mercenary marvelcomic timmiller action adventure comedy
5,savingtheworld artificialintelligence fathersonrelationship christophernolan adventure drama sciencefiction
6,bountyhunter hero plantation quentintarantino drama western
7,marvelcomic spaceship space jamesgunn action sciencefiction adventure
8,supportgroup dualidentity nihilism davidfincher drama
9,hallucination dystopia femaleprotagonist garyross sciencefiction adventure fantasy
10,future chase post-apocalyptic georgemiller action adventure sciencefiction
11,dccomics crimefighter terrorist christophernolan action crime drama
12,savingtheworld artificialintelligence manvsmachine lanawachowski action sciencefiction
13,middleeast armsdealer malibu jonfavreau action sciencefiction adventure
14,terrorist waronterror tennessee shaneblack action adventure sciencefiction
15,elves dwarves orcs peterjackson adventure fantasy action
16,monster dna tyrannosaurusrex colintrevorrow action adventure sciencefiction
17,transporter brothel drugdealer quentintarantino thriller crime
18,riddle elves dwarves peterjackson adventure fantasy action
19,prison corruption policebrutality frankdarabont drama crime
20,elves orcs middle-earth(tolkien) peterjackson adventure fantasy action
21,vietnamveteran hippie mentallydisabled robertzemeckis comedy drama romance
22,android spaceship jedi j.j.abrams action adventure sciencefiction
23,shipwreck iceberg ship jamescameron drama romance thriller
24,spy secretagent sociopath sammendes action adventure thriller
25,dccomics shareduniverse antihero davidayer action adventure crime
26,elves orcs middle-earth(tolkien) peterjackson adventure fantasy action
27,himalaya martialarts dccomics christophernolan action crime drama
28,civilwar war marvelcomic anthonyrusso adventure action sciencefiction
29,basedonnovel mars nasa ridleyscott drama adventure sciencefiction
30,exoticisland blacksmith eastindiatradingcompany goreverbinski adventure fantasy action
31,dccomics vigilante superhero zacksnyder action adventure fantasy
32,witch christmasparty magic chriscolumbus adventure fantasy family
33,newyork usa worldwarii joejohnston action adventure sciencefiction
34,agedifference centralandsouthamerica balloon petedocter animation comedy family
35,malibu marvelcomic superhero jonfavreau adventure action sciencefiction
36,marvelcomic sequel superhero josswhedon action adventure sciencefiction
37,android galaxy hermit georgelucas adventure action sciencefiction
38,corruption sex sexuality martinscorsese crime drama comedy
39,dream cartoon imaginaryfriend petedocter drama comedy animation
40,lossoffather vigilante serum marcwebb action adventure fantasy
41,newmexico banishment shield kennethbranagh adventure fantasy action
42,competition basedonnovel mentor francislawrence adventure action sciencefiction
43,paris guerrilla cinema quentintarantino drama action thriller
44,adoptivefather orphanage life'sdream pierrecoffin animation family
45,basedonnovel island hurricane martinscorsese drama thriller mystery
46,fathersonrelationship rape basedonnovel alejandrogonzáleziñárritu western drama adventure
47,savingtheworld dccomics superhero zacksnyder action adventure fantasy
48,romanticcomedy andrewstanton animation family
49,underwear tiger stagnight toddphillips comedy
50,cyborg experiment self-destruction jamesmangold action drama sciencefiction
51,fathersonrelationship harbor underwater andrewstanton animation family
52,brotherbrotherrelationship hero talent chriswilliams adventure family animation
53,clocktower carrace terrorist robertzemeckis adventure comedy sciencefiction
54,1970s mutant timetravel bryansinger action adventure fantasy
55,monster infant energysupply petedocter animation comedy family
56,selfsacrifice magic frog davidyates family fantasy adventure
57,spy greatbritain secretorganization matthewvaughn crime comedy action
58,artificialintelligence telepathy intelligence lucbesson action sciencefiction
59,flying traitor magic alfonsocuarón adventure fantasy family
60,marvelcomic superhero basedoncomic peytonreed sciencefiction action adventure
61,italy loveatfirstsight lossoffather francisfordcoppola drama crime
62,basedonnovel marriagecrisis disappearance davidfincher mystery thriller drama
63,rebel android asteroid irvinkershner adventure action sciencefiction
64,flyingcar witch magic chriscolumbus adventure fantasy family
65,self-fulfillingprophecy detective s.w.a.t. davidfincher crime mystery thriller
66,ocean shipwreck hindu anglee adventure drama action
67,gay england worldwarii mortentyldum history drama thriller
68,detective scotlandyard coffin guyritchie action adventure crime
69,washingtond.c. future shield anthonyrusso action adventure sciencefiction
70,magic marvelcomic superhero scottderrickson action adventure fantasy
71,spacemission loss space alfonsocuarón sciencefiction thriller drama
72,resistance post-apocalyptic dystopia francislawrence sciencefiction adventure thriller
73,magic dyinganddeath broom mikenewell adventure fantasy family
74,spacecraft language loss denisvilleneuve thriller drama sciencefiction
75,corruption isolation radio davidyates adventure fantasy family
76,dystopia apocalypse zombie marcforster action drama horror
77,paris bank secret louisleterrier thriller crime
78,prophecy witch lossoflover davidyates adventure fantasy family
79,robbery magic teleportation davidyates adventure family fantasy
80,rome gladiator arena ridleyscott action drama adventure
81,basedonnovel maze post-apocalyptic wesball action mystery sciencefiction
82,france magic castle billcondon family fantasy romance
83,lossofparents wildboar uncle rogerallers family animation drama
84,hitman russianmafia revenge chadstahelski action thriller
85,queen musical princess chrisbuck animation adventure family
86,witch magic broom davidyates adventure fantasy family
87,jealousy toy boy johnlasseter animation comedy family
88,malefriendship masseuse friendship erictoledano drama comedy
89,lossoflover spider thanksgiving samraimi fantasy action
90,witch fortuneteller bondage goreverbinski adventure fantasy action
91,secretidentity secret hero bradbird action adventure animation
92,carrace sequel crime justinlin action thriller crime
93,cia mutant mine matthewvaughn action sciencefiction adventure
94,android dystopia alien ridleyscott sciencefiction adventure mystery
95,warcrimes selfsacrifice warveteran stevenspielberg drama history war
96,rebel spacebattle spacetravel garethedwards action adventure sciencefiction
97,evisceration javelin shield zacksnyder action adventure war
98,japan coma martialarts quentintarantino action crime
99,sea captain mutiny robmarshall adventure action fantasy
100,dccomics hero greekmythology pattyjenkins action adventure fantasy
101,civilization naturaldisaster endoftheworld rolandemmerich action adventure sciencefiction
102,dejavu timewarp restart dougliman action sciencefiction
103,savingtheworld lostcivilisation post-apocalyptic francislawrence drama horror action
104,fox prejudice conspiracy byronhoward animation adventure family
105,exoticisland dna paleontology stevenspielberg adventure sciencefiction
106,dystopia giantrobot giantmonster guillermodeltoro action sciencefiction adventure
107,corruption elves dwarves peterjackson action adventure fantasy
108,marvelcomic superhero basedoncomic alantaylor action adventure fantasy
109,dancing artificialintelligence distrust alexgarland drama sciencefiction
110,spacecraft dystopia space josephkosinski action sciencefiction adventure
111,sequel superhero basedoncomic jamesgunn action adventure comedy
112,dancing philadelphia running davido.russell drama comedy romance
113,mutant supernaturalpowers marvelcomic bryansinger sciencefiction
114,friendship love teddybear sethmacfarlane comedy fantasy
